Gene1,Gene2,corVal,pValue
LCE1F,TNS1,0.131929010688669,8.63640289627045e-266
MTNR1B,OPRK1,0.131883157269516,1.32184409517217e-265
PRTN3,LY6G6F,0.131756139395449,4.29414058638312e-265
SMIM5,CRCT1,0.131738280512134,5.06734575232146e-265
IDO2,IDO1,0.13172498224394,5.73213102295426e-265
IDO1,IDO2,0.131724982243835,5.73213102853328e-265
PADI3,PAGE2B,0.131700760028602,7.17487701617261e-265
KRT31,FER1L5,0.131613518232672,1.60999038226134e-264
SCN2A,PADI3,0.13155342479383,2.80842943873258e-264
S100A12,ERFE,0.131518546977067,3.8784440413155e-264
ERFE,S100A12,0.131518546977057,3.87844404167148e-264
CD19,CD22,0.131445647423116,7.61305044978634e-264
CD22,CD19,0.131445647423113,7.6130504500499e-264
MPIG6B,CRCT1,0.131423010994057,9.38587712178998e-264
DUOXA2,SBSN,0.131335811876992,2.10158565314679e-263
MYCN,ENDOU,0.131253257041551,4.50560358127125e-263
ENDOU,MYCN,0.131253257041551,4.50560358129434e-263
PAQR9,PRG2,0.131236204318876,5.27400859408962e-263
PRG2,PAQR9,0.131236204318833,5.27400859619467e-263
HBB,HBA2,0.131089514310773,2.0419444736296e-262
HBA2,HBB,0.131089514310746,2.0419444741314e-262
CSF3R,HTR3E,0.131079940376676,2.23044053995032e-262
HTR3E,CSF3R,0.131079940376665,2.23044054016596e-262
SPRR2F,TNP1,0.130953663592725,7.14330950331519e-262
GPHB5,OPRK1,0.130940980325441,8.02869686949416e-262
PIGR,SST,0.130922471676984,9.52113710474254e-262
SATL1,ERFE,0.130884915784536,1.34554352189636e-261
SPRR2E,SPRR2G,0.130858861705443,1.71032148715526e-261
KRT77,SPRR2G,0.130858861699758,1.71032157665884e-261
CDSN,SPRR2G,0.130858861697478,1.71032161256588e-261
CARD18,SPRR2G,0.130858861697425,1.71032161339715e-261
KRTDAP,SPRR2G,0.130858861694691,1.71032165643577e-261
CROCC2,SATL1,0.130783951622732,3.40795853164148e-261
F2,PAQR9,0.130776533046192,3.64868865709647e-261
C2orf73,BPIFA2,0.130775474620262,3.68439200751812e-261
F2,PF4,0.130655852279416,1.10687500018581e-260
DUOXA2,TRIM10,0.130633370149777,1.36092589865733e-260
CMTM5,GFI1B,0.130583613692167,2.14969722082671e-260
GFI1B,CMTM5,0.130583613691792,2.14969722822981e-260
IGLL1,CYP26C1,0.130575953847977,2.30640395029029e-260
KRT31,PCDHB4,0.130538039724033,3.26709827246337e-260
TCL1A,CRYM,0.130535954001236,3.33027529593391e-260
CRYM,TCL1A,0.130535954001214,3.33027529663021e-260
SPRR2G,XK,0.130436540877216,8.2943822841371e-260
NPTX2,APOB,0.130392171183548,1.24612115465683e-259
APOB,NPTX2,0.13039217118352,1.24612115497513e-259
RHCG,WFDC5,0.130328337316721,2.23756680172314e-259
RHAG,ART4,0.130320344941921,2.407666088627e-259
ART4,RHAG,0.130320344941861,2.40766608996611e-259
KCNH7,RTBDN,0.130274813799171,3.6545348775588e-259
DUOXA2,SLC4A1,0.130247625706492,4.68837790351365e-259
CCDC33,CRYBA2,0.130212827736592,6.44853890992963e-259
CRYBA2,CCDC33,0.130212827736585,6.44853891032545e-259
PCSK2,SPINK1,0.130198743362491,7.33640196880599e-259
PADI3,GNAT2,0.130065560719045,2.48267002937788e-258
NWD1,LYPD2,0.130059840133619,2.61605754289611e-258
WFDC5,LCE1F,0.130013451390445,3.9986641247479e-258
MT-CO3,MT-ND1,0.129952088967788,7.00740881865968e-258
MT-ND1,MT-CO3,0.129952088967787,7.00740881875624e-258
ENAM,SST,0.129887079136403,1.26926594528785e-257
TVP23A,PRR9,0.129816933421306,2.40868675861034e-257
PRR9,TVP23A,0.129816933421285,2.4086867590857e-257
IGLL1,CR1L,0.129810202675924,2.56135137004952e-257
SPRR2G,TUBB1,0.129796255616491,2.90916037619341e-257
HTR3E,IGFL1,0.129746355435347,4.58739315984054e-257
SATL1,MFSD2B,0.12968138499624,8.29818776442286e-257
SPRR2B,RHCG,0.129586842691152,1.96484590766742e-256
SPRR2G,TNP1,0.129583987597882,2.01664291193255e-256
SATL1,PEAR1,0.129499528383228,4.35315103557731e-256
CSF3R,IGLL1,0.129483595242822,5.03292224881794e-256
GRM7,PRKG1,0.129475661999524,5.40995520538587e-256
PRKG1,GRM7,0.129475661999521,5.40995520553065e-256
HCAR2,UGT2B7,0.129397375291274,1.10328121641727e-255
UGT2B7,HCAR2,0.129397375291271,1.10328121644616e-255
TAL1,DUOXA2,0.129391690190721,1.1618598132298e-255
GYPA,TPO,0.129379266362324,1.30091562200668e-255
TPO,GYPA,0.129379266362306,1.30091562222698e-255
F2,PF4V1,0.129305138673553,2.55316747750192e-255
RBP4,APOH,0.129269304042224,3.53652273589359e-255
APOH,RBP4,0.129269304042223,3.53652273594111e-255
ELANE,PADI3,0.129259304252166,3.87306287357842e-255
ELANE,KRT84,0.129143738208554,1.10679729335466e-254
KRT84,ELANE,0.129143738208524,1.10679729366246e-254
NWD1,ARHGAP6,0.129072629392481,2.11080471056047e-254
ADGRD1,SPDYC,0.128893404006685,1.07255941184442e-253
SPDYC,ADGRD1,0.128893404006677,1.07255941192565e-253
FER1L5,SHD,0.12889296780248,1.07680817129234e-253
SHD,FER1L5,0.128892967802472,1.07680817137205e-253
CLLU1OS,PCSK2,0.128837691964556,1.77691324532365e-253
SHD,DUOXA2,0.1287978634637,2.54884993520614e-253
CYP19A1,SST,0.12874438622416,4.13652189268707e-253
AC104389.5,HBG2,0.128652322548956,9.51591418530274e-253
HBG2,AC104389.5,0.128652322548938,9.51591418677551e-253
LCE3E,IDO2,0.128594522688343,1.60498359032118e-252
CYP19A1,LCE1F,0.128564168009632,2.11179755000352e-252
LCE3E,FER1L5,0.128531430055882,2.83895747367759e-252
CYP26C1,IGFL1,0.128492088469766,4.05081229847979e-252
B3GALT5,SERPINB7,0.128442487479532,6.34038370640496e-252
SERPINB7,B3GALT5,0.128442487479475,6.34038370966512e-252
MPIG6B,OPRK1,0.12833347204929,1.69623463887763e-251
ITIH3,RASIP1,0.128243050662413,3.83423305971683e-251
RASIP1,ITIH3,0.128243050662401,3.8342330601155e-251
IGLL1,SLC22A16,0.128194920767319,5.91704217492229e-251
DUOXA2,TTK,0.128085206859625,1.58985104155661e-250
CD19,BANK1,0.128074031824397,1.75815471064223e-250
BANK1,CD19,0.128074031824394,1.75815471067927e-250
TMSB4X,CD52,0.128031837637961,2.57054108741005e-250
CD52,TMSB4X,0.128031837637959,2.57054108746919e-250
DNAH3,MYH15,0.127957441750472,5.02059347822458e-250
MYH15,DNAH3,0.127957441750459,5.02059347880951e-250
ARHGEF15,APLNR,0.127905235894257,8.02907317731246e-250
APLNR,ARHGEF15,0.127905235894255,8.02907317743957e-250
CFAP47,SOX18,0.127889497796297,9.24953426836003e-250
SOX18,CFAP47,0.127889497796296,9.24953426849908e-250
CA3,MAP1LC3C,0.127680754322735,6.03236865348778e-249
MAP1LC3C,CA3,0.127680754322732,6.03236865363548e-249
PCDH8,LYPD1,0.127636305615665,8.98913307735981e-249
LYPD1,PCDH8,0.127636305615659,8.98913307785633e-249
BMPER,SATL1,0.127609451934237,1.14378530403056e-248
SPRR2B,ARHGAP40,0.127523880237289,2.46374389228646e-248
RPS4Y1,EIF1AY,0.127482661597243,3.56480245283341e-248
EIF1AY,RPS4Y1,0.12748266159724,3.56480245291948e-248
CNTN6,KRT4,0.127439020766425,5.27042022035461e-248
RTBDN,LCE3E,0.127294390754592,1.92390209128324e-247
SST,PF4,0.127257362174473,2.67946674960145e-247
KRT31,PRTN3,0.127210282619201,4.08227295274877e-247
SOX6,DUOXA2,0.127181457036136,5.28231302601817e-247
HAND1,C2orf73,0.127078472329298,1.3257841243714e-246
CLEC1B,GATA1,0.126987088928566,2.99792841032757e-246
NWD1,GFI1B,0.126879559730859,7.82420317206118e-246
